scheme_id,scheme_name,persona,sub_category,authority,gender,min_age,max_age,income_ceiling,min_land,category,state,disability_required,bpl_required,benefit_desc,benefit_amount,official_url,required_docs
45,Sub-Mission on Agricultural Mechanization SMAM,Farmer,All,Central,All,18,100,0,1.0,All,All,No,No,"Subsidy on purchase of tractors, tillers, power seeders, and modern agricultural machinery.",40-50% Machinery Subsidy,https://agrimachinery.nic.in,Aadhaar;Land Record;Tractor/Machine Quotation
46,Agriculture Infrastructure Fund AIF,Farmer,All,Central,All,18,80,0,1.0,All,All,No,No,Medium to long term debt financing facility for post-harvest management and community farm assets.,3% Interest Subvention,https://agriinfra.dac.gov.in,Aadhaar;Land Title;Project Report
47,Rashtriya Krishi Vikas Yojana RKVY,Farmer,All,Central,All,18,100,0,0.5,All,All,No,No,Comprehensive grant support for farm infrastructure and agribusiness development.,Project Based Grant,https://rkvy.nic.in,Aadhaar;Land Document;Farmer ID
48,National Food Security Mission NFSM,Farmer,All,Central,All,18,100,0,0.5,All,All,No,No,"Input support and high-yielding seeds for pulse, rice, wheat, and coarse cereal crops.",Subsidized Quality Seeds,https://nfsm.gov.in,Aadhaar;Land Record 8-A
49,Integrated Scheme for Agricultural Marketing,Farmer,All,Central,All,18,80,0,1.0,All,All,No,No,Capital subsidy for construction of rural godowns and cold storage warehouses.,25-33% Storage Construction Subsidy,https://dmi.gov.in,Aadhaar;Land Title Document;Bank Sanction Letter
50,Mukhyamantri Kisan Sahay Yojana Gujarat,Farmer,All,Central,All,18,100,0,0.1,All,Gujarat,No,No,"Gujarat government zero-premium crop loss relief scheme for drought, heavy rain, or unseasonal storm.",₹20000-25000 per Hectare,https://ikhedut.gujarat.gov.in,Aadhaar;Gujarat Land Record 7/12 & 8-A;Bank Passbook
51,i-Khedut Farm Mechanization Subsidy Gujarat,Farmer,All,Central,All,18,100,0,0.5,All,Gujarat,No,No,"Subsidy for purchasing rotavators, threshers, sprayers, and cultivators through i-Khedut portal.",Up to 50% Tool Cost,https://ikhedut.gujarat.gov.in,Aadhaar;Land Record 7/12;i-Khedut Registration
52,i-Khedut Drip and Sprinkler Subsidy Gujarat,Farmer,All,Central,All,18,100,0,0.5,All,Gujarat,No,No,Special Gujarat state micro-irrigation capital grant coordinated by GGRC.,Up to 70% Irrigation Subsidy,https://ggrc.co.in,Aadhaar;7/12 & 8-A Land Record;Water Test Report
53,i-Khedut Solar Water Pump Subsidy Gujarat,Farmer,All,Central,All,18,75,0,1.0,All,Gujarat,No,No,Off-grid solar irrigation pump installation support for Gujarat farmers without grid connections.,Up to 60% Pump Cost,https://ikhedut.gujarat.gov.in,Aadhaar;Land Record 7/12;No DGVCL/UGVCL Connection Proof
54,Gujarat Saat-Baara 7/12 Digitization Support,Farmer,All,Central,All,18,100,0,0.0,All,Gujarat,No,No,Online instant access and verification of agricultural land records through AnyROR portal.,Free Land Record Service,https://anyror.gujarat.gov.in,Aadhaar;Survey Number
55,Organic Farming Subsidy Tribal Farmers Gujarat,Farmer,All,Central,All,18,80,0,0.5,ST,Gujarat,No,No,Financial assistance for Dang and tribal district farmers practicing chemical-free organic farming.,₹9000 per Hectare per year,https://ikhedut.gujarat.gov.in,Aadhaar;ST Caste Certificate;Land Record 7/12
56,Smart Phone Subsidy Scheme for Farmers Gujarat,Farmer,All,Central,All,18,80,0,0.5,All,Gujarat,No,No,Assistance of up to Rs 6000 for farmers to purchase smartphones for digital farm updates.,40% or ₹6000 Smartphone Subsidy,https://ikhedut.gujarat.gov.in,Aadhaar;7/12 Land Record;Smartphone GST Invoice
57,Barbed Wire Fencing Assistance Scheme Gujarat,Farmer,All,Central,All,18,80,0,2.0,All,Gujarat,No,No,Subsidy to install barbed wire fencing around agricultural fields to protect crops from wild animals.,50% Fencing Cost Subsidy,https://ikhedut.gujarat.gov.in,Aadhaar;7/12 Land Ownership;Map of Plot
58,Tarpaulin Sheet Support Scheme Gujarat,Farmer,All,Central,All,18,100,0,0.2,All,Gujarat,No,No,Assistance to purchase multi-layer waterproof tarpaulin covers to safeguard harvested produce.,₹1250 per Tarpaulin Sheet,https://ikhedut.gujarat.gov.in,Aadhaar;Land Record 7/12;Vendor Bill
59,Agricultural Tool Kit Assistance Marginal Farmers,Farmer,All,Central,All,18,80,150000,0.2,All,Gujarat,No,No,Free distribution of hand tools and agricultural implements to marginal and small landholding farmers.,Free Farm Tool Kit,https://ikhedut.gujarat.gov.in,Aadhaar;Small Farmer Certificate;7/12 Record
60,Desi Cow Maintenance Subsidy Gujarat Prakritik,Farmer,All,Central,All,18,80,0,0.5,All,Gujarat,No,No,Monthly subsidy of Rs 900 for farmers maintaining an indigenous cow for natural/prakritik farming.,₹900/month (₹10800/year),https://ikhedut.gujarat.gov.in,Aadhaar;Desi Cow Tag Number;7/12 Land Record
61,Polyhouse and Green House Subsidy Gujarat,Farmer,All,Central,All,18,80,0,1.0,All,Gujarat,No,No,Capital subsidy for erecting protected cultivation structures for high-value horticulture crops.,65% Polyhouse Subsidy,https://ikhedut.gujarat.gov.in,Aadhaar;Land Document;Horticulture Approval
62,Fruit and Vegetable Storage Godown Subsidy,Farmer,All,Central,All,18,80,0,1.0,All,Gujarat,No,No,Assistance for constructing small on-farm storage sheds to reduce post-harvest fruit/vegetable spoilage.,₹30000 Storage Subsidy,https://ikhedut.gujarat.gov.in,Aadhaar;Land Record 7/12;Construction Estimate
63,Crop Protection Net House Scheme Gujarat,Farmer,All,Central,All,18,80,0,0.5,All,Gujarat,No,No,Financial grant for installing shade net houses to protect crops against intense sun and pests.,50% Shade Net Cost,https://ikhedut.gujarat.gov.in,Aadhaar;7/12 Land Record;Quotation
64,Pack House Construction Assistance Gujarat,Farmer,All,Central,All,18,80,0,1.0,All,Gujarat,No,No,Grant for building grading and packing sheds on farm premises for horticultural exports.,₹200000 Pack House Subsidy,https://ikhedut.gujarat.gov.in,Aadhaar;Land Ownership 7/12;Horticulture Registration
65,Animal Husbandry Cattle Shed Subsidy Gujarat,Farmer,All,Central,All,18,80,0,0.5,All,Gujarat,No,No,Assistance for constructing hygienic pucca cattle sheds with manger and urine drainage.,₹50000 Cattle Shed Subsidy,https://doah.gujarat.gov.in,Aadhaar;7/12 Land Record;Cattle Ownership Proof
66,Dairy Farm Establishment Subsidy Gujarat,Farmer,All,Central,All,18,70,0,1.0,All,Gujarat,No,No,Interest subsidy and capital assistance for establishing 12-milch animal dairy units.,12% Interest Subsidy,https://doah.gujarat.gov.in,Aadhaar;Land Document;Milk Cooperative Membership
67,Kisan Drone Subsidy Scheme,Farmer,All,Central,All,18,65,0,2.0,All,All,No,No,Financial support for purchasing agricultural spraying and monitoring drones.,40-50% Drone Cost Subsidy,https://agrimachinery.nic.in,Aadhaar;Land Record;Drone Pilot Certificate
68,Seed Village Scheme Beej Gram,Farmer,All,Central,All,18,100,0,0.5,All,All,No,No,Distribution of certified foundation seeds at 50 percent subsidy to upgrade farm productivity.,50% Seed Subsidy,https://seednet.gov.in,Aadhaar;7/12 Land Record
69,Rainfed Area Development Programme RADP,Farmer,All,Central,All,18,100,0,1.0,All,All,No,No,Integrated farming systems support for farmers in non-irrigated rainfed districts.,Integrated Farm Support,https://nmsa.dac.gov.in,Aadhaar;Land Record 7/12
70,Micro Irrigation Scheme GGRC Gujarat,Farmer,All,Central,All,18,100,0,0.2,All,Gujarat,No,No,Gujarat Green Revolution Company dedicated micro-irrigation system installation assistance.,Up to 70% System Cost,https://ggrc.co.in,Aadhaar;7/12 & 8-A Land Documents;Water Source Proof
71,Indira Gandhi National Girl Pension IGNWPS,Girl,All,Central,All,40,79,150000,0.0,All,All,No,Yes,Monthly central government pension for girls belonging to Below Poverty Line households.,₹300-500/month,https://nsap.nic.in,Aadhaar;Husband Death Certificate;BPL Ration Card
72,Ganga Swaroopa Yojana Gujarat Girl Pension,Girl,All,Central,All,18,100,150000,0.0,All,Gujarat,No,No,Gujarat government monthly financial assistance for girled women to ensure social security.,₹1250/month directly to bank,https://sje.gujarat.gov.in,Aadhaar;Husband Death Certificate;Income Certificate;Gujarat Domicile
73,Pradhan Mantri Awas Yojana Gramin PMAY-G,Girl,All,Central,All,18,100,150000,0.0,All,All,No,Yes,Direct grant for constructing pucca house with basic amenities for houseless rural girls.,₹120000-130000 House Grant,https://pmayg.nic.in,Aadhaar;BPL Card;Husband Death Certificate
74,Pradhan Mantri Awas Yojana Urban PMAY-U,Girl,All,Central,All,18,100,300000,0.0,All,All,No,No,Financial assistance and credit-linked interest subsidy for urban home construction.,Up to ₹267000 Subsidy,https://pmay-urban.gov.in,Aadhaar;Income Certificate;Husband Death Certificate
75,National Family Benefit Scheme NFBS,Girl,All,Central,All,18,64,150000,0.0,All,All,No,Yes,One-time lump sum grant to BPL family upon death of the primary breadwinner.,₹20000 One Time Grant,https://nsap.nic.in,Aadhaar;Death Certificate of Breadwinner;BPL Card
76,Pradhan Mantri Jeevan Jyoti Bima Yojana PMJJBY,Girl,All,Central,All,18,50,0,0.0,All,All,No,No,Life insurance cover of Rs 2 lakh for death due to any reason at nominal annual premium.,₹200000 Life Coverage,https://jansuraksha.gov.in,Aadhaar;Bank Passbook
77,Pradhan Mantri Suraksha Bima Yojana PMSBY,Girl,All,Central,All,18,70,0,0.0,All,All,No,No,Accident insurance cover of Rs 2 lakh for accidental death or permanent disability.,₹200000 Accident Coverage,https://jansuraksha.gov.in,Aadhaar;Bank Account
78,Atal Pension Yojana APY,Girl,All,Central,All,18,40,0,0.0,All,All,No,No,Guaranteed government-backed pension scheme providing fixed monthly pension after age 60.,₹1000-5000/month after 60,https://npscra.nsdl.co.in,Aadhaar;Savings Bank Account
79,Ayushman Bharat PM-JAY Health Insurance,Girl,All,Central,All,18,100,250000,0.0,All,All,No,No,Universal health insurance providing up to Rs 5 lakh hospital cover per family per year.,₹500000 Hospitalization Cover,https://pmjay.gov.in,Aadhaar;Ration Card;Husband Death Certificate
80,Mukhyamantri Amrutam MA Vatsalya Gujarat,Girl,All,Central,All,18,100,400000,0.0,All,Gujarat,No,No,Gujarat state comprehensive cashless medical and surgical treatment cover in empaneled hospitals.,₹500000 Medical Cover,https://magujarat.com,Aadhaar;Income Certificate;MA Card
81,Annapurna Food Scheme for Senior Citizens,Girl,All,Central,All,65,100,100000,0.0,All,All,No,No,Free monthly food grain supply for indigent senior citizens not covered under old age pension.,10 Kg Free Wheat/Rice monthly,https://nfsa.gov.in,Aadhaar;Age Certificate;Non-Pensioner Affidavit
82,National Social Assistance Programme NSAP,Girl,All,Central,All,60,100,150000,0.0,All,All,No,Yes,Umbrella social security programme providing livelihood and old age support.,Monthly Pension Support,https://nsap.nic.in,Aadhaar;BPL Card;Death Certificate
83,Ganga Swaroopa Punah Lagna Sahay Remarriage,Girl,All,Central,All,18,50,150000,0.0,All,Gujarat,No,No,Incentive financial grant by Gujarat government for girls who choose to remarry.,₹50000 One Time Grant,https://sje.gujarat.gov.in,Aadhaar;Husband Death Certificate;Marriage Registration Certificate
84,Silai Machine Assistance Scheme for Girls,Girl,All,Central,All,18,50,150000,0.0,All,Gujarat,No,No,Free sewing machine toolkit distribution to girled women for self-employment.,Free Sewing Machine Toolkit,https://sje.gujarat.gov.in,Aadhaar;Husband Death Certificate;Income Certificate
85,DAY-NRLM Self Help Group Livelihood Support,Girl,All,Central,All,18,60,0,0.0,All,All,No,No,Revolving fund and bank linkage support for girled women joining rural Self-Help Groups.,Community Enterprise Grant,https://aajeevika.gov.in,Aadhaar;SHG Membership Proof
86,Stand-Up India Scheme Women Entrepreneurs,Girl,All,Central,All,18,65,0,0.0,All,All,No,No,Bank loans between Rs 10 lakh to Rs 1 crore for SC/ST or women entrepreneurs.,₹10 Lakh to ₹1 Crore Loan,https://standupmitra.in,Aadhaar;Business Project Report;Husband Death Certificate
87,PM SVANidhi Street Vendor Support,Girl,All,Central,All,18,70,0,0.0,All,All,No,No,Collateral-free working capital loan up to Rs 50000 for urban street vendors and single women.,₹10000 to ₹50000 Working Loan,https://pmsvanidhi.mohua.gov.in,Aadhaar;Vendor Certificate of Vending
88,Sukanya Samriddhi Yojana Daughter Support,Girl,All,Central,All,18,60,0,0.0,All,All,No,No,High-interest deposit scheme for securing education and future of dependent daughters.,Tax-Free High Return Deposit,https://www.nsiindia.gov.in,Aadhaar;Daughter Birth Certificate
89,Kasturba Gandhi Balika Vidyalaya Support,Girl,All,Central,All,18,70,150000,0.0,All,All,No,No,Residential schooling support for daughters of single mothers and girls in disadvantaged blocks.,Free Boarding & Schooling,https://dsel.education.gov.in,Aadhaar;Husband Death Certificate;Daughter Birth Certificate
90,Mahila Shakti Kendra Empowerment Scheme,Girl,All,Central,All,18,65,0,0.0,All,All,No,No,Community center skill development and digital literacy support for rural women.,Free Skill & Digital Training,https://wcd.nic.in,Aadhaar;Resident Proof
91,STEP Training and Employment for Women,Girl,All,Central,All,18,60,0,0.0,All,All,No,No,Skill up-gradation and employability training in traditional and modern trades for women.,Stipend + Skill Certification,https://wcd.nic.in,Aadhaar;Husband Death Certificate
92,Working Women Hostel Assistance Scheme,Girl,All,Central,All,18,60,350000,0.0,All,All,No,No,Safe and affordable hostel accommodation with daycare facilities for single working women.,Subsidized Hostel Rental,https://wcd.nic.in,Aadhaar;Employment Proof;Husband Death Certificate
93,Palak Mata Pita Yojana Foster Care Gujarat,Girl,All,Central,All,18,65,200000,0.0,All,Gujarat,No,No,Monthly foster care support for orphaned children or children of destitute girls.,₹3000/month per Child,https://sje.gujarat.gov.in,Aadhaar;Child School Bonafide;Husband Death Certificate
94,Manav Garima Yojana Self-Employment Gujarat,Girl,All,Central,All,18,60,150000,0.0,All,Gujarat,No,No,"Free toolkit assistance across 28 trades (tailoring, embroidery, beauty parlor) for poor families.",Free Trade Tool Kit,https://sje.gujarat.gov.in,Aadhaar;Income Certificate;Husband Death Certificate
95,Ghar Divada Scheme Women Artisans Gujarat,Girl,All,Central,All,18,60,150000,0.0,All,Gujarat,No,No,Marketing and exhibition support for handicraft products made by girled women artisans.,Exhibition Stall & Transport Grant,https://sje.gujarat.gov.in,Aadhaar;Artisan ID Card;Husband Death Certificate
96,PM Ujjwala Yojana Free LPG Connection,Girl,All,Central,All,18,70,150000,0.0,All,All,No,Yes,Free LPG cylinder connection and subsidy for women belonging to BPL households.,Free Gas Stove & First Refill,https://pmuy.gov.in,Aadhaar;BPL Ration Card;Husband Death Certificate
97,Pandit Deendayal Upadhyay Awas Yojana Gujarat,Girl,All,Central,All,18,70,150000,0.0,All,Gujarat,No,No,Housing construction financial assistance for homeless poor families in Gujarat.,₹120000 Housing Subsidy,https://sje.gujarat.gov.in,Aadhaar;Plot Ownership Document;Income Certificate
98,Dr Ambedkar Awas Yojana Gujarat SC Housing,Girl,All,Central,All,18,70,150000,0.0,SC,Gujarat,No,No,Housing financial assistance for SC girls and families without a pucca house in Gujarat.,₹120000 House Construction Aid,https://sje.gujarat.gov.in,Aadhaar;SC Caste Certificate;Plot Ownership
99,Sardar Patel Awas Yojana Rural Housing Gujarat,Girl,All,Central,All,18,70,150000,0.0,All,Gujarat,No,Yes,Special rural housing assistance for BPL families and single women in rural Gujarat.,₹120000 Financial Grant,https://panchayat.gujarat.gov.in,Aadhaar;BPL Score Card;Husband Death Certificate
100,Shramik Annapurna Yojana Gujarat Meals,Girl,All,Central,All,18,65,250000,0.0,All,Gujarat,No,No,Nutritious hot cooked meals for registered construction workers and their families at just Rs 5.,₹5 Subsidized Full Meal,https://bocw.gujarat.gov.in,Aadhaar;E-Shram Card / BOCW Card
101,Senior Citizen Girl Health Assistance Gujarat,Girl,All,Central,All,60,100,200000,0.0,All,Gujarat,No,No,Special financial assistance for geriatric care and medicines for senior citizen girls.,Annual Medical Expense Grant,https://sje.gujarat.gov.in,Aadhaar;Age Certificate;Husband Death Certificate
102,Destitute Women Vocational Training Subsidy,Girl,All,Central,All,18,50,150000,0.0,All,Gujarat,No,No,Free residential vocational training with monthly stipend for destitute girled women.,Free Training + ₹1000 Stipend,https://sje.gujarat.gov.in,Aadhaar;Husband Death Certificate;Income Certificate
103,GWEDC Microcredit Loan for Single Women,Girl,All,Central,All,18,55,200000,0.0,All,Gujarat,No,No,Subsidized micro-loans through Gujarat Women Economic Development Corporation.,₹100000 Low-Interest Loan,https://gwedc.gujarat.gov.in,Aadhaar;Business Plan;Husband Death Certificate
